视频地址,弹幕地址,弹幕时间,弹幕内容
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-19 10:47,绝了，中国智慧牛逼
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-19 10:41,牛逼！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-19 10:32,所以只要是在境内就可以买票喽
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-19 01:32,好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 19:01,不得老贵了
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 16:04,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 15:01,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 14:47,好呀
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 14:04,赞成
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 14:45,绿色，环保，集约，节约
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 13:43,点赞！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 13:00,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 12:33,怎么买票啊，抢得到吗？
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 12:29,好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 12:43,支持支持支持
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 09:44,卧槽，鸟巢这个灯亮起来好看
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 09:09,好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-18 07:39,用身份证实名，早来有什么用
